id,missionType,description,iconName,target,color,rewardItemType,rewardAmount
1,0,Collect 5 Red screws and supercharge your toolbox!,Screw_Red,5,0,0,10
2,1,Remove 10 empty boxes and tidy up the board!,Rainbow,10,1,1,20
3,2,Complete 15 levels and shine like a true puzzle star!,star_complete_level,15,2,2,30
4,3,Trigger 20 rainbow blasts and flood the board with color!,Rainbow,20,3,3,40
5,0,Collect 25 Gray screws and supercharge your toolbox!,Screw_Gray,25,4,4,50
6,1,Break 30 Pink boxes and reveal the way forward!,Pink,30,0,5,10
7,2,Complete 35 levels and shine like a true puzzle star!,star_complete_level,35,1,0,20
8,3,Trigger 40 rainbow blasts and flood the board with color!,Rainbow,40,2,1,30
9,0,Collect 45 Blue screws and supercharge your toolbox!,Screw_Blue,45,3,2,40
10,1,Smash through 50 Gray boxes and open the path to victory!,Gray,50,4,3,50
11,2,Complete 5 levels and shine like a true puzzle star!,star_complete_level,5,0,4,10
12,3,Trigger 10 rainbow blasts and flood the board with color!,Rainbow,10,1,5,20
13,0,Collect 15 Red screws and supercharge your toolbox!,Screw_red,15,2,0,30
14,1,Smash through 20 Blue boxes and open the path to victory!,blue,20,3,1,40
15,2,Complete 25 levels and shine like a true puzzle star!,star_complete_level,25,4,2,50
16,3,Trigger 30 rainbow blasts and flood the board with color!,Rainbow,30,0,3,10
17,0,Collect 35 special screws and power up your next big move!,Screw_empty,35,1,4,20
18,1,Smash through 40 Red boxes and open the path to victory!,Red,40,2,5,30
19,2,Complete 45 levels and shine like a true puzzle star!,star_complete_level,45,3,0,40
20,3,Trigger 50 rainbow blasts and flood the board with color!,Rainbow,50,4,1,50
21,0,Collect 5 Cyan screws and supercharge your toolbox!,Screw_clear,5,0,2,10
22,1,Clear out 10 empty boxes and make room for your next big combo!,empty,10,1,3,20
23,2,Complete 15 levels and shine like a true puzzle star!,star_complete_level,15,2,4,30
24,3,Trigger 20 rainbow blasts and flood the board with color!,Rainbow,20,3,5,40
25,0,Collect 25 Gray screws and supercharge your toolbox!,Screw_gray,25,4,0,50
26,1,Break 30 Green boxes and reveal the way forward!,clear,30,0,1,10
27,2,Complete 35 levels and shine like a true puzzle star!,star_complete_level,35,1,2,20
28,3,Trigger 40 rainbow blasts and flood the board with color!,Rainbow,40,2,3,30
29,0,Collect 45 Blue screws and supercharge your toolbox!,Screw_blue,45,3,4,40
30,1,Smash through 50 Gray boxes and open the path to victory!,gray,50,4,5,50
31,2,Complete 5 levels and shine like a true puzzle star!,star_complete_level,5,0,0,10
32,3,Trigger 10 rainbow blasts and flood the board with color!,Rainbow,10,1,1,20
33,0,Collect 15 Red screws and supercharge your toolbox!,Screw_red,15,2,2,30
34,1,Smash through 20 Blue boxes and open the path to victory!,blue,20,3,3,40
35,2,Complete 25 levels and shine like a true puzzle star!,star_complete_level,25,4,4,50
36,3,Trigger 30 rainbow blasts and flood the board with color!,Rainbow,30,0,5,10
37,0,Collect 35 special screws and power up your next big move!,Screw_empty,35,1,0,20
38,1,Smash through 40 Red boxes and open the path to victory!,red,40,2,1,30
39,2,Complete 45 levels and shine like a true puzzle star!,star_complete_level,45,3,2,40
40,3,Trigger 50 rainbow blasts and flood the board with color!,Rainbow,50,4,3,50
41,0,Collect 5 Brown screws and supercharge your toolbox!,Screw_clear,5,0,4,10
42,1,Clear out 10 empty boxes and make room for your next big combo!,empty,10,1,5,20
43,2,Complete 15 levels and shine like a true puzzle star!,star_complete_level,15,2,3,30
44,3,Trigger 20 rainbow blasts and flood the board with color!,Rainbow,20,3,4,40
45,0,Collect 25 Gray screws and supercharge your toolbox!,Screw_gray,25,4,5,50
46,1,Break 30 Purple boxes and reveal the way forward!,clear,30,0,0,10
47,2,Complete 35 levels and shine like a true puzzle star!,star_complete_level,35,1,1,20
48,3,Trigger 40 rainbow blasts and flood the board with color!,Rainbow,40,2,2,30
49,0,Collect 45 Blue screws and supercharge your toolbox!,Screw_blue,45,3,3,40
50,1,Smash through 50 Gray boxes and open the path to victory!,gray,50,4,4,50
51,2,Complete 5 levels and shine like a true puzzle star!,star_complete_level,5,0,5,10
52,3,Trigger 10 rainbow blasts and flood the board with color!,Rainbow,10,1,0,20
53,0,Collect 15 Red screws and supercharge your toolbox!,Screw_red,15,2,1,30
54,1,Smash through 20 Blue boxes and open the path to victory!,blue,20,3,2,40
55,2,Complete 25 levels and shine like a true puzzle star!,star_complete_level,25,4,3,50
56,3,Trigger 30 rainbow blasts and flood the board with color!,Rainbow,30,0,4,10
57,0,Collect 35 special screws and power up your next big move!,Screw_empty,35,1,5,20
58,1,Smash through 40 Red boxes and open the path to victory!,red,40,2,0,30
59,2,Complete 45 levels and shine like a true puzzle star!,star_complete_level,45,3,1,40
60,3,Trigger 50 rainbow blasts and flood the board with color!,Rainbow,50,4,2,50
61,0,Collect 5 Orange screws and supercharge your toolbox!,Screw_orange,5,0,3,10
62,1,Clear out 10 empty boxes and make room for your next big combo!,Rainbow,10,1,4,20
63,2,Complete 15 levels and shine like a true puzzle star!,star_complete_level,15,2,5,30
64,3,Trigger 20 rainbow blasts and flood the board with color!,Rainbow,20,3,0,40
65,0,Collect 25 Gray screws and supercharge your toolbox!,Screw_gray,25,4,1,50
66,1,Break 30 Blue boxes and reveal the way forward!,Blue,30,0,2,10
67,2,Complete 35 levels and shine like a true puzzle star!,star_complete_level,35,1,3,20
68,3,Trigger 40 rainbow blasts and flood the board with color!,Rainbow,40,2,4,30
69,0,Collect 45 Blue screws and supercharge your toolbox!,Screw_blue,45,3,5,40
70,1,Smash through 50 Gray boxes and open the path to victory!,gray,50,4,0,50
71,2,Complete 5 levels and shine like a true puzzle star!,star_complete_level,5,0,1,10
72,3,Trigger 10 rainbow blasts and flood the board with color!,Rainbow,10,1,2,20
73,0,Collect 15 Red screws and supercharge your toolbox!,Screw_red,15,2,3,30
74,1,Smash through 20 Blue boxes and open the path to victory!,blue,20,3,4,40
75,2,Complete 25 levels and shine like a true puzzle star!,star_complete_level,25,4,5,50
76,3,Trigger 30 rainbow blasts and flood the board with color!,Rainbow,30,0,0,10
77,0,Collect 35 special screws and power up your next big move!,Screw_empty,35,1,1,20
78,1,Smash through 40 Red boxes and open the path to victory!,red,40,2,2,30
79,2,Complete 45 levels and shine like a true puzzle star!,star_complete_level,45,3,3,40
80,3,Trigger 50 rainbow blasts and flood the board with color!,Rainbow,50,4,4,50
81,0,Collect 5 Green screws and supercharge your toolbox!,Screw_Green,5,0,5,10
82,1,Clear out 10 empty boxes and make room for your next big combo!,empty,10,1,0,20
83,2,Complete 15 levels and shine like a true puzzle star!,star_complete_level,15,2,1,30
84,3,Trigger 20 rainbow blasts and flood the board with color!,Rainbow,20,3,2,40
85,0,Collect 25 Gray screws and supercharge your toolbox!,Screw_gray,25,4,3,50
86,1,Break 30 crystal-clear boxes and reveal the way forward!,clear,30,0,4,10
87,2,Complete 35 levels and shine like a true puzzle star!,star_complete_level,35,1,5,20
88,3,Trigger 40 rainbow blasts and flood the board with color!,Rainbow,40,2,0,30
89,0,Collect 45 Blue screws and supercharge your toolbox!,Screw_blue,45,3,1,40
90,1,Smash through 50 Gray boxes and open the path to victory!,gray,50,4,2,50
91,2,Complete 5 levels and shine like a true puzzle star!,star_complete_level,5,0,3,10
92,3,Trigger 10 rainbow blasts and flood the board with color!,Rainbow,10,1,4,20
