id,missionType,description,iconName,target,color,rewardItemType,rewardAmount
1,0,Collect 5 Red screws and supercharge your toolbox!,Screw_Red,5,0,0,1
2,1,Remove 10 empty boxes and tidy up the board!,Rainbow,10,1,1,2
3,2,Complete 15 levels and shine like a true puzzle star!,star_complete_level,15,2,2,3
4,3,Trigger 20 rainbow blasts and flood the board with color!,Rainbow,20,3,3,4
5,0,Collect 25 Gray screws and supercharge your toolbox!,Screw_Gray,25,4,4,5
6,1,Break 30 Pink boxes and reveal the way forward!,Pink,30,0,5,1
7,2,Complete 35 levels and shine like a true puzzle star!,star_complete_level,35,1,0,2
8,3,Trigger 40 rainbow blasts and flood the board with color!,Rainbow,40,2,1,3
9,0,Collect 45 Blue screws and supercharge your toolbox!,Screw_Blue,45,3,2,4
10,1,Smash through 50 Gray boxes and open the path to victory!,Gray,50,4,3,5
11,2,Complete 5 levels and shine like a true puzzle star!,star_complete_level,5,0,4,1
12,3,Trigger 10 rainbow blasts and flood the board with color!,Rainbow,10,1,5,2
13,0,Collect 15 Red screws and supercharge your toolbox!,Screw_red,15,2,0,3
14,1,Smash through 20 Blue boxes and open the path to victory!,blue,20,3,1,4
15,2,Complete 25 levels and shine like a true puzzle star!,star_complete_level,25,4,2,5
16,3,Trigger 30 rainbow blasts and flood the board with color!,Rainbow,30,0,3,1
17,0,Collect 35 special screws and power up your next big move!,Screw_empty,35,1,4,2
18,1,Smash through 40 Red boxes and open the path to victory!,Red,40,2,5,3
19,2,Complete 45 levels and shine like a true puzzle star!,star_complete_level,45,3,0,4
20,3,Trigger 50 rainbow blasts and flood the board with color!,Rainbow,50,4,1,5
21,0,Collect 5 Cyan screws and supercharge your toolbox!,Screw_clear,5,0,2,1
22,1,Clear out 10 empty boxes and make room for your next big combo!,empty,10,1,3,2
23,2,Complete 15 levels and shine like a true puzzle star!,star_complete_level,15,2,4,3
24,3,Trigger 20 rainbow blasts and flood the board with color!,Rainbow,20,3,5,4
25,0,Collect 25 Gray screws and supercharge your toolbox!,Screw_gray,25,4,0,5
26,1,Break 30 Green boxes and reveal the way forward!,clear,30,0,1,1
27,2,Complete 35 levels and shine like a true puzzle star!,star_complete_level,35,1,2,2
28,3,Trigger 40 rainbow blasts and flood the board with color!,Rainbow,40,2,3,3
29,0,Collect 45 Blue screws and supercharge your toolbox!,Screw_blue,45,3,4,4
30,1,Smash through 50 Gray boxes and open the path to victory!,gray,50,4,5,5
31,2,Complete 5 levels and shine like a true puzzle star!,star_complete_level,5,0,0,1
32,3,Trigger 10 rainbow blasts and flood the board with color!,Rainbow,10,1,1,2
33,0,Collect 15 Red screws and supercharge your toolbox!,Screw_red,15,2,2,3
34,1,Smash through 20 Blue boxes and open the path to victory!,blue,20,3,3,4
35,2,Complete 25 levels and shine like a true puzzle star!,star_complete_level,25,4,4,5
36,3,Trigger 30 rainbow blasts and flood the board with color!,Rainbow,30,0,5,1
37,0,Collect 35 special screws and power up your next big move!,Screw_empty,35,1,0,2
38,1,Smash through 40 Red boxes and open the path to victory!,red,40,2,1,3
39,2,Complete 45 levels and shine like a true puzzle star!,star_complete_level,45,3,2,4
40,3,Trigger 50 rainbow blasts and flood the board with color!,Rainbow,50,4,3,5
41,0,Collect 5 Brown screws and supercharge your toolbox!,Screw_clear,5,0,4,1
42,1,Clear out 10 empty boxes and make room for your next big combo!,empty,10,1,5,2
43,2,Complete 15 levels and shine like a true puzzle star!,star_complete_level,15,2,3,3
44,3,Trigger 20 rainbow blasts and flood the board with color!,Rainbow,20,3,4,4
45,0,Collect 25 Gray screws and supercharge your toolbox!,Screw_gray,25,4,5,5
46,1,Break 30 Purple boxes and reveal the way forward!,clear,30,0,0,1
47,2,Complete 35 levels and shine like a true puzzle star!,star_complete_level,35,1,1,2
48,3,Trigger 40 rainbow blasts and flood the board with color!,Rainbow,40,2,2,3
49,0,Collect 45 Blue screws and supercharge your toolbox!,Screw_blue,45,3,3,4
50,1,Smash through 50 Gray boxes and open the path to victory!,gray,50,4,4,5
51,2,Complete 5 levels and shine like a true puzzle star!,star_complete_level,5,0,5,1
52,3,Trigger 10 rainbow blasts and flood the board with color!,Rainbow,10,1,0,2
53,0,Collect 15 Red screws and supercharge your toolbox!,Screw_red,15,2,1,3
54,1,Smash through 20 Blue boxes and open the path to victory!,blue,20,3,2,4
55,2,Complete 25 levels and shine like a true puzzle star!,star_complete_level,25,4,3,5
56,3,Trigger 30 rainbow blasts and flood the board with color!,Rainbow,30,0,4,1
57,0,Collect 35 special screws and power up your next big move!,Screw_empty,35,1,5,2
58,1,Smash through 40 Red boxes and open the path to victory!,red,40,2,0,3
59,2,Complete 45 levels and shine like a true puzzle star!,star_complete_level,45,3,1,4
60,3,Trigger 50 rainbow blasts and flood the board with color!,Rainbow,50,4,2,5
61,0,Collect 5 Orange screws and supercharge your toolbox!,Screw_orange,5,0,3,1
62,1,Clear out 10 empty boxes and make room for your next big combo!,Rainbow,10,1,4,2
63,2,Complete 15 levels and shine like a true puzzle star!,star_complete_level,15,2,5,3
64,3,Trigger 20 rainbow blasts and flood the board with color!,Rainbow,20,3,0,4
65,0,Collect 25 Gray screws and supercharge your toolbox!,Screw_gray,25,4,1,5
66,1,Break 30 Blue boxes and reveal the way forward!,Blue,30,0,2,1
67,2,Complete 35 levels and shine like a true puzzle star!,star_complete_level,35,1,3,2
68,3,Trigger 40 rainbow blasts and flood the board with color!,Rainbow,40,2,4,3
69,0,Collect 45 Blue screws and supercharge your toolbox!,Screw_blue,45,3,5,4
70,1,Smash through 50 Gray boxes and open the path to victory!,gray,50,4,0,5
71,2,Complete 5 levels and shine like a true puzzle star!,star_complete_level,5,0,1,1
72,3,Trigger 10 rainbow blasts and flood the board with color!,Rainbow,10,1,2,2
73,0,Collect 15 Red screws and supercharge your toolbox!,Screw_red,15,2,3,3
74,1,Smash through 20 Blue boxes and open the path to victory!,blue,20,3,4,4
75,2,Complete 25 levels and shine like a true puzzle star!,star_complete_level,25,4,5,5
76,3,Trigger 30 rainbow blasts and flood the board with color!,Rainbow,30,0,0,1
77,0,Collect 35 special screws and power up your next big move!,Screw_empty,35,1,1,2
78,1,Smash through 40 Red boxes and open the path to victory!,red,40,2,2,3
79,2,Complete 45 levels and shine like a true puzzle star!,star_complete_level,45,3,3,4
80,3,Trigger 50 rainbow blasts and flood the board with color!,Rainbow,50,4,4,5
81,0,Collect 5 Green screws and supercharge your toolbox!,Screw_Green,5,0,5,1
82,1,Clear out 10 empty boxes and make room for your next big combo!,empty,10,1,0,2
83,2,Complete 15 levels and shine like a true puzzle star!,star_complete_level,15,2,1,3
84,3,Trigger 20 rainbow blasts and flood the board with color!,Rainbow,20,3,2,4
85,0,Collect 25 Gray screws and supercharge your toolbox!,Screw_gray,25,4,3,5
86,1,Clear 30 boxes and open up more space!,clear,30,0,4,1
87,2,Complete 35 levels and shine like a true puzzle star!,star_complete_level,35,1,5,2
88,3,Trigger 40 rainbow blasts and flood the board with color!,Rainbow,40,2,0,3
89,0,Collect 45 Blue screws and supercharge your toolbox!,Screw_blue,45,3,1,4
90,1,Smash through 50 Gray boxes and open the path to victory!,gray,50,4,2,5
91,2,Complete 5 levels and shine like a true puzzle star!,star_complete_level,5,0,3,1
92,3,Trigger 10 rainbow blasts and flood the board with color!,Rainbow,10,1,4,2
93,0,Collect 15 Red screws and supercharge your toolbox!,Screw_red,15,2,5,3
94,1,Smash through 20 Blue boxes and open the path to victory!,blue,20,3,0,4
95,2,Complete 25 levels and shine like a true puzzle star!,star_complete_level,25,4,1,5
