id,patternId,x,y,blockId,screwRequired
1,1001,0,0,1,0
2,1001,1,0,1,0
3,1001,0,1,1,0
4,1001,2,0,2,0
5,1001,3,0,2,0
6,1001,2,1,2,0
7,1001,4,0,3,0
8,1001,4,1,3,0
9,1001,3,1,3,0
10,1001,0,2,4,0
11,1001,1,2,4,0
12,1001,0,3,4,0
13,1001,1,3,4,0
14,1001,2,2,5,0
15,1001,3,2,5,0
16,1001,2,3,5,0
17,1001,3,3,5,0
18,1001,4,2,6,0
19,1001,4,3,6,0
20,1001,0,4,7,0
21,1001,1,4,7,0
22,1001,2,4,7,0
23,1001,3,4,9,0
24,1001,4,4,9,0
25,1001,1,1,10,0
26,1002,0,0,1,0
27,1002,1,0,1,0
28,1002,0,1,1,0
29,1002,1,1,1,0
30,1002,2,0,2,0
31,1002,3,0,2,0
32,1002,4,0,2,0
33,1002,2,1,3,0
34,1002,2,2,3,0
35,1002,3,1,4,0
36,1002,4,1,4,0
37,1002,4,2,4,0
38,1002,0,2,5,0
39,1002,1,2,5,0
40,1002,0,3,5,0
41,1002,1,3,6,0
42,1002,1,4,6,0
43,1002,2,4,11,0
44,1002,3,3,7,0
45,1002,4,3,7,0
46,1002,3,4,7,0
47,1002,4,4,7,0
48,1002,0,4,8,0
49,1002,4,2,4,0
50,1002,2,3,10,0
51,1003,0,0,1,0
52,1003,1,0,1,0
53,1003,0,1,1,0
54,1003,2,0,2,0
55,1003,3,0,3,0
56,1003,3,1,9,0
57,1003,4,0,3,0
58,1003,4,1,10,0
59,1003,3,1,12,0
60,1003,0,2,4,0
61,1003,1,2,4,0
62,1003,0,3,4,0
63,1003,1,3,4,0
64,1003,2,2,5,0
65,1003,3,2,5,0
66,1003,2,3,5,0
67,1003,4,2,11,0
68,1003,4,3,13,0
69,1003,2,4,7,0
70,1003,3,4,7,0
71,1003,4,4,7,0
72,1003,0,4,8,0
73,1003,1,4,8,0
74,1003,1,1,9,0
75,1003,2,1,9,0
76,1004,0,0,1,0
77,1004,1,0,1,0
78,1004,2,0,2,0
79,1004,3,0,2,0
80,1004,4,0,2,0
81,1004,0,1,3,0
82,1004,1,1,4,0
83,1004,2,1,4,0
84,1004,3,1,5,0
85,1004,4,1,5,0
86,1004,0,2,3,0
87,1004,1,2,4,0
88,1004,2,2,8,0
89,1004,3,2,9,0
90,1004,4,2,10,0
91,1004,0,3,11,0
92,1004,1,3,6,0
93,1004,2,3,6,0
94,1004,3,3,7,0
95,1004,4,3,7,0
96,1004,0,4,11,0
97,1004,1,4,6,0
98,1004,2,4,6,0
99,1004,3,4,7,0
100,1004,4,4,7,0
101,1005,0,0,1,0
102,1005,1,0,2,0
103,1005,2,0,3,0
104,1005,3,0,4,0
125,1005,4,0,5,0
105,1005,0,1,6,0
106,1005,1,1,6,0
107,1005,2,1,7,0
108,1005,3,1,7,0
109,1005,4,1,8,0
110,1005,0,2,9,0
111,1005,1,2,9,0
112,1005,2,2,10,0
113,1005,3,2,11,0
114,1005,4,2,11,0
115,1005,0,3,12,0
116,1005,1,3,12,0
117,1005,2,3,13,0
118,1005,3,3,13,0
119,1005,4,3,14,0
120,1005,0,4,15,0
121,1005,1,4,15,0
122,1005,2,4,16,0
123,1005,3,4,16,0
124,1005,4,4,17,0
